redeID;lastName;politicianID;date;target;m_sent;m_senti;source;school;color;id
123;Richter;-1;1949-09-22;Taylor;Der amerikanische General Taylor hat vor einigen Monaten einmal erklärt , daß das Völkerrecht auch heute noch seine Gültigkeit hat , selbst wenn es für gewisse Mächte unbequem sein sollte.;-1;NR;Kommunitarismus;purple;0
252;Schmid;11001993;1949-09-29;Marx;Es lohnt sich manchmal , meine Damen und Herren der Rechten , Karl Marx zu lesen.;1;SPD;Marxismus;red;1
252;Schmid;11001993;1949-09-29;Marx;Wenn man hier den Versuch gemacht hat , Karl Marx und was sich über ihn hinaus entwickelt hat , mit Adam Smith zu widerlegen , so darf ich sagen , meine Damen und Herren : die Wirtschaftsgeschichte des 19. und des halben 20. Jahrhunderts ist doch ein einziges Zeugnis dafür , daß man gezwungen war , wenigstens etwas von dem zu korrigieren , was die Epigonen von Adam Smith über die Menschheit gebracht haben.;-1;SPD;Marxismus;red;2
252;Schmid;11001993;1949-09-29;Smith;Wenn man hier den Versuch gemacht hat , Karl Marx und was sich über ihn hinaus entwickelt hat , mit Adam Smith zu widerlegen , so darf ich sagen , meine Damen und Herren : die Wirtschaftsgeschichte des 19. und des halben 20. Jahrhunderts ist doch ein einziges Zeugnis dafür , daß man gezwungen war , wenigstens etwas von dem zu korrigieren , was die Epigonen von Adam Smith über die Menschheit gebracht haben.;-1;SPD;Liberalismus;green;3
252;Schmid;11001993;1949-09-29;Smith;Wenn man hier den Versuch gemacht hat , Karl Marx und was sich über ihn hinaus entwickelt hat , mit Adam Smith zu widerlegen , so darf ich sagen , meine Damen und Herren : die Wirtschaftsgeschichte des 19. und des halben 20. Jahrhunderts ist doch ein einziges Zeugnis dafür , daß man gezwungen war , wenigstens etwas von dem zu korrigieren , was die Epigonen von Adam Smith über die Menschheit gebracht haben.;-1;SPD;Liberalismus;green;4
452;Hilpert;11000903;1949-09-30;Marx;Ich erinnere mich noch gern des Besuchs bei meinem alten Freund , dem späteren Reichskanzler Marx , in Weimar.;-1;CDU/CSU;Marxismus;red;5
2406;Nuding;11001630;1950-02-09;Marx;Mir schien bei Ihrer Rede , die heute so vom Ausland abstrahiert hat , daß Sie von Marx nur noch einen Teil , den der Abstraktionsfähigkeit behalten haben , aber in allen andern Teilen nicht mehr die Zusammenhänge einer kapitalistischen Weltwirtschaft gesehen haben.;0;KPD;Marxismus;red;6
2406;Nuding;11001630;1950-02-09;Marx;Wenn Sie auch den Marxismus abgelehnt haben , sollten Sie sich doch immer daran erinnern , daß Marx schon lehrte : die Verelendung ist kein revolutionärer Faktor , ( { 20 } ) sondern ein reaktionärer Faktor.;-1;KPD;Marxismus;red;7
2347;Erhard;11000486;1950-02-09;Keynes;Diese Art von Kreditschöpfung und darauf gestützte Arbeitsbeschaffungsprogramme , die unter dem sozialischen Dogma der Vollbeschäftigung nach Art Keynes`scher Theorien propagiert werden , sind allerdings Methoden , die wir auf keinen Fall anwenden wollen , und zwar aus sozialer Verpflichtung heraus.;0;not found;Linksliberalismus;green;8
2359;Walter;11002420;1950-02-09;Marx;Ich nehme an , daß die verantwortlichen Staatsmänner in England ihren Shakespeare ebensogut kennen wie den Karl Marx. Shakespeare läßt seinen Shylock dem Richter sagen : You take my life , when you take the means whereby I live.;1;DP;Marxismus;red;9
