redeID;lastName;politicianID;date;target;fm_sent;fm_senti;source;school;color;id
252;Schmid;11001993;1949-09-29;Karl Marx;Es lohnt sich manchmal , meine Damen und Herren der Rechten , Karl Marx zu lesen.;1;SPD;Marxismus;red;0
252;Schmid;11001993;1949-09-29;Karl Marx;Wenn man hier den Versuch gemacht hat , Karl Marx und was sich über ihn hinaus entwickelt hat , mit Adam Smith zu widerlegen , so darf ich sagen , meine Damen und Herren : die Wirtschaftsgeschichte des 19. und des halben 20. Jahrhunderts ist doch ein einziges Zeugnis dafür , daß man gezwungen war , wenigstens etwas von dem zu korrigieren , was die Epigonen von Adam Smith über die Menschheit gebracht haben.;-1;SPD;Marxismus;red;1
252;Schmid;11001993;1949-09-29;Adam Smith;Wenn man hier den Versuch gemacht hat , Karl Marx und was sich über ihn hinaus entwickelt hat , mit Adam Smith zu widerlegen , so darf ich sagen , meine Damen und Herren : die Wirtschaftsgeschichte des 19. und des halben 20. Jahrhunderts ist doch ein einziges Zeugnis dafür , daß man gezwungen war , wenigstens etwas von dem zu korrigieren , was die Epigonen von Adam Smith über die Menschheit gebracht haben.;-1;SPD;Liberalismus;green;2
252;Schmid;11001993;1949-09-29;Adam Smith;Wenn man hier den Versuch gemacht hat , Karl Marx und was sich über ihn hinaus entwickelt hat , mit Adam Smith zu widerlegen , so darf ich sagen , meine Damen und Herren : die Wirtschaftsgeschichte des 19. und des halben 20. Jahrhunderts ist doch ein einziges Zeugnis dafür , daß man gezwungen war , wenigstens etwas von dem zu korrigieren , was die Epigonen von Adam Smith über die Menschheit gebracht haben.;-1;SPD;Liberalismus;green;3
2359;Walter;11002420;1950-02-09;Karl Marx;Ich nehme an , daß die verantwortlichen Staatsmänner in England ihren Shakespeare ebensogut kennen wie den Karl Marx. Shakespeare läßt seinen Shylock dem Richter sagen : You take my life , when you take the means whereby I live.;1;DP;Marxismus;red;4
13106;renner;11001823;1951-06-13;Karl Marx;Ich will Ihnen das Mittel sagen , daß uns Karl Marx in die Hand gegeben hat , um diesem Zustand ein Ende zu machen : Aktionseinheit der Arbeiterklasse und Arbeits- und Kampfgemeinschaft aller fortschrittlichen deutschen Menschen , aller unterdrückten Arbeiter , Angestellten , Intelligenzler , Wissenschaftler , Handwerker und Gewerbetreibenden und Klein- und Mittelbauern gegen diese Regierung der Kriegsvorbereitung , des Krieges und des Hungers , für den Frieden!;-1;KPD;Marxismus;red;5
16510;Wönner;11002546;1951-12-12;Karl Marx;Wenn es so wäre , dann würden Sie in der Tat das bewirkt haben , was von der linken Seite so wohlbegründet dargestellt worden ist , dann würde die klassenlose Gesellschaft erreicht sein , die Karl Marx einmal geträumt hat.;1;SPD;Marxismus;red;6
17437;Schäfer;11001933;1952-02-08;Karl Marx;"( { 17 } ) Es war ein sehr interessanter Mann für Sie ; er hieß nämlich Karl Marx. ( { 18 } ) Aber ich will jetzt nicht mit diesen Einzelheiten aufhalten.";1;FDP;Marxismus;red;7
21937;kalinke;11001058;1952-09-11;Karl Marx;( { 0 } ) Ich möchte es mir ersparen , auf die temperamentvollen und etwas eigenartigen Ausführungen des Sprechers der Sozialdemokratischen Partei , die Sie so bejubelt haben , in denen er von Karl Marx bis zu Schenkendorf kam , einzugehen.;1;DP;Marxismus;red;8
32832;gerstenmaier;11000669;1954-10-07;Karl Marx;( { 19 } ) Ich habe mir überlegt , ob man unterstellen soll , daß es eben . die konservativen Züge sind , die sich in einer Partei , die im Begriff ist , sich von Karl Marx abzusetzen , nun darin zu Wort melden.;-1;CDU/CSU;Marxismus;red;9
24261;Preiß;11001746;1953-02-25;Karl Marx;Da kann ich nun nicht umhin , zu dem ganzen Problem Agrarsozialismus oder Agrarrevolutionen auf den Urheber alles dessen , was in dieser Richtung erfolgt ist , zurückzugehen , nämlich auf Herrn Karl Marx. ( { 1 } ) - Ich weiß , das ist Ihnen nicht sehr angenehm.;1;FDP;Marxismus;red;10
24263;Kriedemann;11001216;1953-02-25;Karl Marx;"( { 0 } ) Herr Dr. Preiß , es braucht Ihnen gar nicht persönlich irgendwie peinlich zu sein , wenn Sie mit den Formulierungen von Karl Marx nicht mitkommen ; daran haben sich schon zu allen Zeiten ganz andere Leute versucht.";-1;SPD;Marxismus;red;11
25555;Nahmer;-1;1953-03-26;Karl Marx;Damals eine Art müder Untergangsstimmung , daß das Handwerk angeblich verloren sei , wie die düstere Prophezeiung von Karl Marx mit der Akkumulationstheorie es behauptete!;-1;FDP;Marxismus;red;12
28543;becker;11000130;1953-07-01;Karl Marx;Das Stachanow-System in Rußland und das Hennecke-System in der Ostzone sind die Quintessenz dessen , was vor rund 100 Jahren in dem Kommunistischen Manifest als das Paradies für die Lohnarbeiterklasse - um im Jargon von Karl Marx zu reden - bezeichnet worden ist.;1;FDP;Marxismus;red;13
29278;bucher;11000288;1953-12-10;Aristoteles;"Es ist Aristoteles , der vor 2400 Jahren ( { 16 } ) in seiner „ Politik "" Kapitel 11 schrieb : Ein Staat will möglichst aus gleichen und ähnlichen Bürgern bestehen , und das findet sich am meisten beim Mittelstand.";1;FDP;Aristotelismus;grey;14
29282;elbrächter;11000461;1953-12-10;Aristoteles;( { 3 } ) Ich glaube schon , daß Aristoteles hier nicht umsonst zitiert worden ist.;1;DP;Aristotelismus;grey;15
31863;bucher;11000288;1954-07-08;Aristoteles;Ich möchte hier nur zu einem Stellung nehmen , was ihm besonders übelgenommen wurde , nämlich das Aristoteles-Zitat.;1;FDP;Aristotelismus;grey;16
32799;kiesinger;11001096;1954-10-07;Karl Marx;Verehrter Herr Kollege Schmid , auch der Irrtum Karl Marx , daß es eines Tages eine Gesellschaft freier , unabhängiger Menschen auf dieser Welt gäbe ohne den Zwangsapparat des Staates , wie er meinte , war ein generöser Irrtum , ich sage sogar : war der Irrtum eines großen Herzens.;1;CDU/CSU;Marxismus;red;17
32799;kiesinger;11001096;1954-10-07;Karl Marx;Aber mit solchen Irrtümern baut man nicht , Geschichte , mit solchen Irrtümern verteidigt man nicht Kulturen , sondern mit solchen Irrtümern - Karl Marx hat es bewiesen - schafft man die schauerlichen Wirklichkeiten , wie sie sich uns heute um Moskau darstellen.;1;CDU/CSU;Marxismus;red;18
32801;kiesinger;11001096;1954-10-07;Karl Marx;Ich möchte denjenigen unter Ihnen , die fleißige Karl-Marx- und Friedrich-Engels-Leser sind - Sie sind es sicherlich , verehrter Herr Kollege Schmid - , ins Gedächtnis rufen , wie Karl Marx und Friedrich Engels über das Problem Rußland gedacht haben.;1;CDU/CSU;Marxismus;red;19
